ds,forecast,Name
2025-05-01,86088.54072776847,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-06-01,44430.11057010054,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-07-01,59703.70784698573,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-08-01,110721.990600198,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-09-01,80005.98418433807,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-10-01,127407.16464701538,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-11-01,87894.29848815469,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-12-01,86719.62702750205,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2026-01-01,89138.71322433608,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2026-02-01,53282.83815724697,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2026-03-01,42831.166609068,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2026-04-01,117356.69062158023,ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس)
2025-05-01,231548.09796988967,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-06-01,105130.59809301903,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-07-01,124972.3712793814,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-08-01,198947.78963356328,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-09-01,191632.34783936766,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-10-01,217368.7437267798,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-11-01,229148.5615056907,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2025-12-01,108510.36965058385,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2026-01-01,220686.1043616371,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2026-02-01,169807.15416208695,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2026-03-01,124220.95100904373,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
2026-04-01,164784.52009655331,BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة
